单词,词向量,近似top20
china,"[ 0.23698722  0.15868384 -0.37267217  0.11303819 -0.1861953   0.11620773
  0.44165316  0.10788415 -0.11919812  0.13718563 -0.15018974  0.14713767
  0.19161022  0.09937106 -0.05472516 -0.05664312 -0.20064405 -0.23418467
  0.15170236 -0.08802667 -0.01245529  0.06478209 -0.14617652 -0.07759783
 -0.00553001 -0.19272462  0.06588405 -0.02574666 -0.27861163  0.13944827
 -0.11482481  0.01741901 -0.02552084  0.14080434  0.0876962  -0.01016026
  0.05414948  0.11422762 -0.18285118  0.11102664 -0.13370883  0.13166998
 -0.09183695 -0.11365873 -0.15060966  0.19652823 -0.00241844 -0.17053276
 -0.08093359  0.05943647]","['resources', 'hightech', 'rural', 'organizations', 'united', 'onechina', 'dialogue', 'vice', 'province', 'department', 'stresses', 'meet', 'effectively', 'toward', 'personnel', 'among', 'understanding', 'chief', 'defense', 'jintao']"
people,"[ 0.10778289  0.00440123 -0.03066782  0.17365517 -0.25283673 -0.12143231
  0.02746896  0.01899089  0.1126194   0.02955163 -0.05633569  0.07974885
  0.11779946 -0.08388153  0.24557099 -0.1507331   0.03441673  0.06384945
  0.11172756 -0.08547422 -0.06582493  0.25635004 -0.13162683 -0.11343572
 -0.11306358 -0.0301611  -0.14309745 -0.12333255  0.10179859  0.09986946
 -0.06929985 -0.18014482  0.06569963  0.11340864 -0.04780905 -0.10177864
  0.12962346  0.12897624 -0.27478328  0.11022246 -0.06624024  0.03996378
  0.05555267  0.1116768   0.0779737  -0.05444082 -0.08157741  0.01474217
 -0.02796402 -0.12350044]","['integrity', 'hard', 'resources', 'effort', 'deal', 'drive', 'prospects', 'defense', 'workers', 'onechina', 'high', 'beginning', 'advance', 'develop', 'lot', 'rate', 'early', 'diplomatic', 'vice', 'historical']"
taiwan,"[-4.4883314e-01  2.7931693e-01 -5.1831508e-01 -2.7075538e-01
 -1.3188620e-01 -5.0024312e-02 -1.8470596e-01 -4.3684009e-02
  1.0837121e-01  1.4630784e-01  7.5560041e-02  2.1683691e-01
  1.5281074e-02 -5.3761438e-02 -6.2310372e-02 -1.7410599e-01
 -5.3659029e-02 -3.6237094e-01  2.0125824e-01 -2.6329094e-01
 -2.9036212e-01 -5.1727634e-02 -5.1333910e-01 -6.7873585e-01
 -5.2065756e-02 -2.0001097e-01  1.8033022e-01  4.5017624e-01
  2.0567329e-01  1.0893250e-01 -3.1108961e-01 -1.5143479e-01
 -3.8993105e-01  4.6516958e-01  2.6713309e-01 -3.7816238e-01
 -3.7506378e-01  1.6561654e-04 -3.0138245e-01  9.4181538e-02
  2.8415668e-01 -7.8605860e-02 -1.7468287e-01 -1.5048195e-01
 -4.4944767e-02 -4.1380212e-02 -2.5604373e-01 -7.2527933e-01
  5.3758483e-02  3.9480802e-01]","['summit', 'outside', 'kinds', 'education', 'companies', 'chief', 'regarding', 'speech', 'guidance', 'supervision', 'npc', 'past', 'person', 'among', 'constitution', '50', 'staff', 'rapidly', '10th', 'launched']"
development,"[-0.01629854 -0.03811364  0.06701638  0.12315612  0.09501091  0.07411695
 -0.07985257 -0.26935667 -0.23943213 -0.18179646  0.08664928 -0.06475477
  0.18131141  0.1325351   0.03491024  0.12053785 -0.06512789  0.10984388
 -0.02534624  0.09600225  0.03936552 -0.11428768 -0.10858323  0.19820464
  0.20677343  0.03952897 -0.05495401 -0.15533982 -0.24442251 -0.15303487
 -0.09332456  0.15014416  0.03965101 -0.03915321 -0.33829919  0.17839547
  0.08283167  0.0074687  -0.02447786  0.09112046 -0.28018242 -0.01988221
  0.02160139 -0.08029992  0.06066059 -0.04369175  0.10295437  0.19468908
 -0.20469578 -0.01568286]","['problems', 'guarantee', 'addition', 'old', 'tenghui', 'emphasized', 'nuclear', 'reason', 'civil', 'close', 'territorial', 'develop', 'india', '40', 'beneficial', 'information', 'legal', 'hand', 'hoped', 'structure']"
said,"[-0.1658442   0.01521987 -0.1411272   0.03703143 -0.09139624  0.25765774
 -0.0635213  -0.20161629  0.11538058  0.03911736  0.06707662 -0.1034678
  0.12754408 -0.00945894 -0.01887118  0.03849543 -0.2369253   0.02922998
  0.12073981  0.07328503 -0.27589992  0.05365795  0.00067392 -0.06111939
 -0.04726809 -0.22191262  0.01040103  0.04266575 -0.05480693  0.03678871
  0.12145907 -0.13814427  0.0419686   0.25882584 -0.05647954  0.02062101
 -0.22630231 -0.05618957  0.14710604  0.21730651 -0.15418953  0.07350972
 -0.07788388  0.17880642  0.13123307 -0.1633851   0.17799695  0.0242476
 -0.27273694  0.19730553]","['struggle', 'using', 'year', 'view', 'dialogue', 'stressed', 'shanghai', 'high', 'sectors', 'province', 'shows', 'resources', 'zemin', 'august', 'says', 'addition', 'ninth', 'diplomatic', 'human', 'chinese']"
chinese,"[-0.47371534  0.0517038   0.43625426 -0.3882106  -0.6020677  -0.18941666
  0.20199041 -0.23442134  0.61320585 -0.05452606 -0.04310668 -0.04195972
  0.11954042  0.16717716  0.6166406   0.25834018 -0.2417925  -0.11431465
  0.50165415  0.23930693  0.37195343  0.13363084 -0.22965693  0.10916981
  0.26555106 -0.28199014  0.33158967 -0.23919731  0.3788312   0.4604031
  0.01839801 -0.35782737 -0.28573573  0.37613413  0.11662908  0.29026484
 -0.27522236  0.22958016 -0.39561898  0.39534798  0.19134861 -0.23144102
 -0.15271161 -0.21283138 -0.40301523 -0.38940263  0.12793484  0.07838511
  0.32271078  0.462508  ]","['including', 'generation', 'regulations', 'increased', 'officials', 'rok', 'budget', 'fine', 'wish', 'center', 'expected', 'office', 'representative', 'effective', 'services', 'highlevel', 'island', 'new', 'result', '12']"
countries,"[ 0.05636984  0.01102837 -0.24319252  0.12614262 -0.00448744  0.03596674
 -0.08598511 -0.22295453 -0.05822762 -0.16646709  0.10209224 -0.1470559
  0.17599244 -0.0444409  -0.01107413 -0.09417538 -0.00796123 -0.10286923
  0.18840383 -0.20171393  0.08504463 -0.08369526 -0.12141155  0.04981437
  0.23178706 -0.10837187 -0.16155921  0.06406599 -0.10038079 -0.10192908
 -0.01118101 -0.12344334  0.02742686  0.11616744  0.03285855 -0.12102785
 -0.10274793 -0.05622192  0.10761266  0.16480662 -0.13303791  0.10738657
 -0.15516156  0.18921569  0.13619477  0.10174768  0.1617666   0.03149971
 -0.30380207 -0.04462378]","['emphasized', 'august', 'part', 'position', 'rural', 'view', 'threat', 'september', 'united', 'stressed', 'province', 'defense', 'shows', 'internal', 'developing', 'living', 'seen', 'dialogue', 'agricultural', 'kind']"
two,"[ 0.19135714 -0.25857323  0.13656913  0.19315079  0.4198391   0.21035641
 -0.2327302  -0.5010722   0.12562498  0.09799498  0.2706066  -0.5156752
  0.6367591   0.4882074  -0.1738367  -0.07631684 -0.1973264  -0.44131136
  0.03384464  0.34991467  0.24357699 -0.42743596 -0.08785808  0.24456759
  0.24614379 -0.26007804  0.26318887 -0.47842097 -0.11535079  0.10137643
 -0.5338563  -0.11996348 -0.02760982 -0.58114773 -0.17039071 -0.1590017
  0.33342564  0.33278894 -0.44598055  0.2920598  -0.04055007 -0.17270719
 -0.33526462  0.22107357 -0.5251589   0.43002594  0.08961429 -0.16164792
 -0.16313317 -0.51624125]","['north', 'dprk', 'schools', 'knowledge', 'along', 'thus', 'enterprises', 'commission', 'face', 'forum', 'central', 'region', 'korean', 'deeply', 'american', 'fiveyear', 'personnel', 'troops', 'seen', 'judicial']"
also,"[-0.01918872 -0.08679229 -0.21434668  0.34426275  0.14804004  0.00640219
 -0.08860629  0.1295436   0.01024993  0.02252196 -0.070818   -0.05227285
  0.16391651 -0.16427651 -0.15971743 -0.2679783   0.01428032  0.07741466
 -0.0318085  -0.27577364 -0.02089785 -0.07326191 -0.11070512 -0.11408608
 -0.11880004 -0.0498833  -0.24668667  0.02611106 -0.09114667  0.01494593
  0.03328259  0.23959957  0.23934144  0.02787379 -0.06397453  0.07343685
  0.2160217  -0.12299134  0.14025961  0.02660681 -0.02830941  0.12312373
  0.07345647  0.2066527   0.16910884 -0.13667656  0.2164218  -0.10879498
 -0.09069221 -0.08591167]","['august', 'community', 'last', 'theoretical', 'make', 'treaty', 'still', 'defense', 'course', 'history', 'since', 'decision', 'done', 'emphasized', 'hard', 'created', 'nuclear', 'drive', 'attended', 'whole']"
new,"[-0.1398703  -0.14414212  0.22475395 -0.45839778 -0.02926779  0.21788868
  0.20889103 -0.1538114   0.39577377  0.32623568 -0.15014552  0.09773539
  0.363475    0.23329237 -0.21251391  0.21353331 -0.14096099  0.22784728
 -0.13835065  0.29101375 -0.13937232  0.09803182  0.30096912  0.1753342
  0.16989553 -0.18787181  0.40395528 -0.09316994 -0.16303055  0.06537075
  0.16312614  0.2190638  -0.14687437 -0.0632219   0.26718816 -0.41717777
 -0.33415568 -0.01535342 -0.13587962  0.19876722  0.03085659 -0.3971441
 -0.1961135  -0.32292873 -0.19336762 -0.24207418 -0.08295792  0.18171242
  0.10703743  0.4125774 ]","['related', 'rich', 'several', 'concerned', 'congress', 'strengthened', 'peace', 'productive', 'conditions', 'rule', 'exchanges', 'unity', 'fine', 'global', 'another', 'building', 'business', 'form', 'zemin', 'actual']"
