单词,词向量,近似top20
china,"[-0.05482497 -0.17894462 -0.12011749  0.3781091   0.15062542  0.03457451
  0.1834443   0.06373803  0.11516439  0.01498381  0.02848629 -0.13504568
 -0.04440097 -0.17546892  0.26516068 -0.09845169 -0.1800172   0.25782156
 -0.17327373 -0.2967962  -0.07859984  0.08405426 -0.04885878 -0.05767674
  0.03251056 -0.07772278  0.20170443  0.15112099  0.07354341  0.19759282
  0.0597443   0.04988397 -0.31395897  0.07167731 -0.0753859  -0.02207348
  0.16499634 -0.20347641  0.01129353  0.03288768 -0.02256482  0.13043292
 -0.05248033 -0.13377881  0.06795546 -0.03132535  0.07615881 -0.00576835
 -0.17431773 -0.26316002]","['production', 'failed', 'korean', 'united', 'province', 'political', 'systems', 'achieved', 'today', 'chinese', 'situation', 'paid', 'two', 'organizations', 'cpc', 'let', 'hard', 'zemin', 'regard', 'treaty']"
people,"[-0.01017823 -0.11046859  0.05928271  0.00253544  0.10463359  0.10381761
  0.21645626  0.12205237  0.02148377  0.06624917 -0.10876966 -0.25855118
  0.10124785  0.23632918  0.02041292 -0.07679655  0.10179924  0.06172195
  0.02741813  0.15163855  0.08302767  0.07696082 -0.03857934 -0.05826824
 -0.14523467 -0.1715605   0.02247062  0.04066134  0.05617099  0.0308211
  0.12304839 -0.11974733 -0.08180179  0.0874862   0.11288156 -0.00893932
  0.13375102 -0.05782756 -0.04115443 -0.12155984 -0.15601853 -0.25256452
  0.07182556 -0.06121204  0.0199887  -0.11245696  0.08213785 -0.06243293
 -0.1310705  -0.03738751]","['failed', '40', 'plan', 'cpc', 'global', 'department', 'bush', 'strengthening', 'situation', 'made', 'nuclear', 'political', 'chen', 'socialist', 'lu', 'hard', 'theory', 'current', 'community', 'goal']"
taiwan,"[-0.08639736  0.16781983  0.01913587 -0.33228868  0.28509888  0.3034532
  0.31523308  0.08364651 -0.08155976 -0.40831476  0.12234734 -0.09690389
 -0.3717687   0.00485268  0.45747554  0.02261476 -0.19493265 -0.07564729
 -0.00186538  0.17710656  0.21072793  0.07969949  0.11578192 -0.07336324
 -0.05970729 -0.40081957 -0.49231696  0.17503822  0.0637826  -0.37315413
 -0.4140371  -0.21242315  0.10061302  0.20696142 -0.2810905   0.2478404
 -0.03466548 -0.08662484  0.1054163   0.11579052 -0.22126286  0.12966065
 -0.15217003  0.03534343 -0.05524136 -0.28623894  0.27925938  0.5306797
 -0.17174642  0.16449638]","['members', 'plans', 'develop', 'think', 'outside', 'bush', 'supervision', 'know', 'past', 'main', 'summit', 'department', 'representatives', 'among', 'onechina', 'education', 'study', 'current', 'rule', 'could']"
development,"[ 0.19520597 -0.05941135  0.2117258  -0.06446237  0.07396508 -0.13272455
  0.17489757 -0.14159806  0.23037054 -0.0168596  -0.01765946  0.06346489
 -0.10193203  0.04327829  0.10798873  0.12328308 -0.16323173 -0.21235341
 -0.01869622  0.32302597  0.15374456  0.1110874  -0.10362147  0.04251111
  0.2825965   0.21625982  0.21071526  0.03811722 -0.03145403 -0.06664984
 -0.09254333 -0.18691102  0.10767587 -0.00288989  0.32466102 -0.15777469
  0.15181382 -0.21993193 -0.12926643  0.26138026  0.09356712  0.0088627
  0.07743249 -0.063152    0.23263875 -0.02453982 -0.05746331 -0.08173889
  0.14609264 -0.36751693]","['current', 'legal', 'opening', 'wei', 'peace', 'goal', 'nuclear', 'structure', 'rate', 'central', 'cold', 'parties', 'failed', 'percent', 'immediately', 'cpc', 'shows', 'israel', 'combat', 'short']"
said,"[-0.08772594 -0.09478672  0.2026257   0.07318008 -0.14660828 -0.00989708
  0.21024475  0.04386242 -0.0724191  -0.01408079 -0.11533332  0.21682602
  0.01571769 -0.18635786 -0.03492394 -0.08167775  0.12684359  0.05192416
 -0.14165188  0.18264586  0.16921128 -0.15180375 -0.12022524  0.11798823
  0.15430404  0.06569777  0.06436987  0.15746935  0.14437383  0.02815627
  0.02779577 -0.08292126 -0.03952748  0.12408487 -0.01248051 -0.04429978
 -0.1944339  -0.01298106 -0.20559248  0.02618036  0.00519195  0.00792392
  0.01211254  0.20803337 -0.03310174  0.0116673  -0.1017065  -0.11471779
 -0.14810066  0.11993194]","['dialogue', 'political', 'npc', 'failed', 'stressed', 'financial', 'human', 'science', 'united', 'unity', 'parties', 'news', 'inspection', 'plan', 'able', 'impact', 'meet', 'efforts', 'ninth', 'says']"
chinese,"[ 0.33304775 -0.10213784  0.00521338 -0.52909225  0.0120259   0.07487514
 -0.34825826  0.20039147 -0.24745248 -0.15704268 -0.02334047 -0.41790113
  0.04367259 -0.22989124 -0.10844059 -0.22722442  0.06634257  0.39058283
 -0.09365156 -0.16581398  0.28152663  0.13260086 -0.2095023   0.05801687
  0.06867643 -0.06537242  0.11990017 -0.2627646   0.44805548  0.23130216
  0.06309682 -0.09438416  0.2528264   0.3873266  -0.2785406   0.15482108
  0.05918231  0.16987062  0.493053   -0.43583348 -0.09890693  0.1649584
  0.30617195  0.07115407  0.4311364   0.175387   -0.06362195  0.1868161
 -0.07515208  0.45079103]","['generation', 'officials', 'educational', 'increased', 'regulations', 'including', 'promoted', 'party', 'forum', 'competition', 'capital', 'kinds', 'rok', 'organized', 'antichina', 'safeguarding', 'cult', 'space', 'completely', 'mutual']"
countries,"[-0.09025578 -0.02447576 -0.01965478  0.14433861  0.15119942 -0.16223274
  0.22626862 -0.04153469 -0.35028085 -0.0935014  -0.1514763  -0.05283969
 -0.05642812 -0.31077892 -0.02791631 -0.16537206 -0.08441775  0.16927232
  0.29081586 -0.07716738 -0.1669368  -0.09038989 -0.17471214 -0.18417493
  0.1391691  -0.02472654  0.04902631  0.00308582 -0.17848633  0.15152141
 -0.03238303 -0.06304301 -0.15069579  0.04122871 -0.0359458   0.08714581
  0.10144407 -0.26692912  0.04999997  0.09084842 -0.00356832  0.08314635
  0.11655105 -0.08645168 -0.02378986 -0.03004633 -0.23135611 -0.03917693
  0.14591597 -0.09342555]","['among', 'political', 'part', 'rural', 'failed', 'hard', 'today', 'peace', 'changes', 'jintao', 'words', 'members', 'united', 'network', 'developing', 'well', 'comrade', 'make', 'facilities', 'since']"
two,"[ 0.14997534 -0.06621905 -0.492158   -0.26335552 -0.22798382  0.08248041
  0.20863634  0.28483227  0.06526352  0.16469814 -0.11105987  0.28143644
  0.12322269  0.36410698  0.05605374  0.19270448 -0.14888579  0.23479101
  0.01418849  0.3427028  -0.18126084  0.13259365 -0.02498382 -0.07330661
 -0.32701716  0.36782092  0.2540886  -0.18412554  0.2394053   0.21836488
  0.17823292  0.00235499  0.06324455  0.41256854  0.07486495 -0.21609072
  0.34819967 -0.36417592  0.05054361 -0.1177654   0.57673305  0.40998182
 -0.51913524 -0.11398137  0.23329467 -0.07340246  0.3023682   0.450619
  0.27063388  0.08069782]","['dprk', 'central', 'korean', 'enterprises', 'certain', 'resolution', 'personnel', 'north', 'short', 'iraq', 'committees', 'schools', 'immediately', 'lies', 'addition', 'fourth', 'area', 'defense', 'deeply', 'sides']"
also,"[-0.13808303  0.14266694 -0.11220144  0.30887792  0.04107374 -0.19341779
  0.02963525  0.08751825 -0.01182456 -0.05626068 -0.07721137  0.0017236
  0.30271512 -0.13458888 -0.05886445  0.03621116 -0.05683908  0.1406683
 -0.06614536  0.04619381 -0.05926325  0.06611841 -0.06384602 -0.10002793
  0.11849058  0.12342018  0.18831152  0.17953259  0.11875203 -0.11106297
 -0.07656559  0.09637591 -0.10009735 -0.0839829  -0.10668235  0.16305724
  0.11360892 -0.05364413 -0.09188925 -0.03592161 -0.10033125 -0.09738967
 -0.17533174 -0.11778538 -0.0493737  -0.09252696  0.03165507 -0.40253025
  0.1754023  -0.06926728]","['political', 'failed', 'future', 'cpc', 'rapidly', 'situation', 'plan', 'launched', 'financial', 'arms', 'jintao', 'practical', 'treaty', 'network', 'community', 'spokesman', 'made', 'united', 'taking', 'allround']"
new,"[ 0.08092388  0.1258182   0.03645982 -0.11657571 -0.22048059 -0.35231966
 -0.03279703 -0.09627022  0.23412444  0.23083514  0.18942294 -0.38149804
  0.21684393 -0.12586448 -0.01575875  0.20974952  0.06588677  0.13067526
 -0.34202027 -0.11907987  0.39282548 -0.12841897  0.02520764  0.34496346
  0.17029624 -0.05231068  0.32016435  0.25408116  0.13208756 -0.18369447
 -0.29567778  0.05507773  0.2201723  -0.09777402  0.14425707 -0.03360854
  0.16451813  0.0269827   0.20843296 -0.12315908  0.3121904   0.29010972
  0.1479943  -0.1438908   0.0703509   0.18659207 -0.20801093  0.36818007
 -0.5541414   0.0922111 ]","['met', 'million', 'science', 'financial', 'agriculture', 'ninth', 'brought', 'created', 'unity', 'shanghai', 'developed', 'zhang', 'must', 'struggle', 'systems', 'deputy', 'zhu', 'reporters', 'taken', 'center']"
